,Loan_ID,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender_Male,Dependents_1,Dependents_2,Dependents_3+,Married_Yes,Education_Not Graduate,Self_Employed_Yes,Property_Area_Semiurban,Property_Area_Urban,Loan_Status_Y
0,LP001002,5849,0.0,146412.16216216216,360.0,1.0,1,0,0,0,0,0,0,0,1,1
1,LP001003,4583,1508.0,128000.0,360.0,1.0,1,1,0,0,1,0,0,0,0,0
2,LP001005,3000,0.0,66000.0,360.0,1.0,1,0,0,0,1,0,1,0,1,1
3,LP001006,2583,2358.0,120000.0,360.0,1.0,1,0,0,0,1,1,0,0,1,1
4,LP001008,6000,0.0,141000.0,360.0,1.0,1,0,0,0,0,0,0,0,1,1
5,LP001011,5417,4196.0,267000.0,360.0,1.0,1,0,1,0,1,0,1,0,1,1
6,LP001013,2333,1516.0,95000.0,360.0,1.0,1,0,0,0,1,1,0,0,1,1
7,LP001014,3036,2504.0,158000.0,360.0,0.0,1,0,0,1,1,0,0,1,0,0
8,LP001018,4006,1526.0,168000.0,360.0,1.0,1,0,1,0,1,0,0,0,1,1
9,LP001020,12841,10968.0,349000.0,360.0,1.0,1,1,0,0,1,0,0,1,0,0
10,LP001024,3200,700.0,70000.0,360.0,1.0,1,0,1,0,1,0,0,0,1,1
11,LP001027,2500,1840.0,109000.0,360.0,1.0,1,0,1,0,1,0,0,0,1,1
12,LP001028,3073,8106.0,200000.0,360.0,1.0,1,0,1,0,1,0,0,0,1,1
13,LP001029,1853,2840.0,114000.0,360.0,1.0,1,0,0,0,0,0,0,0,0,0
14,LP001030,1299,1086.0,17000.0,120.0,1.0,1,0,1,0,1,0,0,0,1,1
15,LP001032,4950,0.0,125000.0,360.0,1.0,1,0,0,0,0,0,0,0,1,1
16,LP001034,3596,0.0,100000.0,240.0,0.8421985815602837,1,1,0,0,0,1,0,0,1,1
17,LP001036,3510,0.0,76000.0,360.0,0.0,0,0,0,0,0,0,0,0,1,0
18,LP001038,4887,0.0,133000.0,360.0,1.0,1,0,0,0,1,1,0,0,0,0
19,LP001041,2600,3500.0,115000.0,342.0,1.0,1,0,0,0,1,0,0,0,1,1
20,LP001043,7660,0.0,104000.0,360.0,0.0,1,0,0,0,1,1,0,0,1,0
21,LP001046,5955,5625.0,315000.0,360.0,1.0,1,1,0,0,1,0,0,0,1,1
22,LP001047,2600,1911.0,116000.0,360.0,0.0,1,0,0,0,1,1,0,1,0,0
23,LP001050,3365,1917.0,112000.0,360.0,0.0,0,0,1,0,1,1,0,0,0,0
24,LP001052,3717,2925.0,151000.0,360.0,0.8421985815602837,1,1,0,0,1,0,0,1,0,0
25,LP001066,9560,0.0,191000.0,360.0,1.0,1,0,0,0,1,0,1,1,0,1
26,LP001068,2799,2253.0,122000.0,360.0,1.0,1,0,0,0,1,0,0,1,0,1
27,LP001073,4226,1040.0,110000.0,360.0,1.0,1,0,1,0,1,1,0,0,1,1
28,LP001086,1442,0.0,35000.0,360.0,1.0,1,0,0,0,0,1,0,0,1,0
29,LP001087,3750,2083.0,120000.0,360.0,1.0,0,0,1,0,0,0,0,1,0,1
30,LP001091,4166,3369.0,201000.0,360.0,0.8421985815602837,1,1,0,0,1,0,0,0,1,0
31,LP001095,3167,0.0,74000.0,360.0,1.0,1,0,0,0,0,0,0,0,1,0
32,LP001097,4692,0.0,106000.0,360.0,1.0,1,1,0,0,0,0,1,0,0,0
33,LP001098,3500,1667.0,114000.0,360.0,1.0,1,0,0,0,1,0,0,1,0,1
34,LP001100,12500,3000.0,320000.0,360.0,1.0,1,0,0,1,0,0,0,0,0,0
35,LP001106,2275,2067.0,146412.16216216216,360.0,1.0,1,0,0,0,1,0,0,0,1,1
36,LP001109,1828,1330.0,100000.0,342.0,0.0,1,0,0,0,1,0,0,0,1,0
37,LP001112,3667,1459.0,144000.0,360.0,1.0,0,0,0,0,1,0,0,1,0,1
38,LP001114,4166,7210.0,184000.0,360.0,1.0,1,0,0,0,0,0,0,0,1,1
39,LP001116,3748,1668.0,110000.0,360.0,1.0,1,0,0,0,0,1,0,1,0,1
40,LP001119,3600,0.0,80000.0,360.0,1.0,1,0,0,0,0,0,0,0,1,0
41,LP001120,1800,1213.0,47000.0,360.0,1.0,1,0,0,0,0,0,0,0,1,1
42,LP001123,2400,0.0,75000.0,360.0,0.8421985815602837,1,0,0,0,1,0,0,0,1,1
43,LP001131,3941,2336.0,134000.0,360.0,1.0,1,0,0,0,1,0,0,1,0,1
44,LP001136,4695,0.0,96000.0,342.0,1.0,1,0,0,0,1,1,1,0,1,1
45,LP001137,3410,0.0,88000.0,342.0,1.0,0,0,0,0,0,0,0,0,1,1
46,LP001138,5649,0.0,44000.0,360.0,1.0,1,1,0,0,1,0,0,0,1,1
47,LP001144,5821,0.0,144000.0,360.0,1.0,1,0,0,0,1,0,0,0,1,1
48,LP001146,2645,3440.0,120000.0,360.0,0.0,0,0,0,0,1,0,0,0,1,0
49,LP001151,4000,2275.0,144000.0,360.0,1.0,0,0,0,0,0,0,0,1,0,1
50,LP001155,1928,1644.0,100000.0,360.0,1.0,0,0,0,0,1,1,0,1,0,1
51,LP001157,3086,0.0,120000.0,360.0,1.0,0,0,0,0,0,0,0,1,0,1
52,LP001164,4230,0.0,112000.0,360.0,1.0,0,0,0,0,0,0,0,1,0,0
53,LP001179,4616,0.0,134000.0,360.0,1.0,1,0,1,0,1,0,0,0,1,0
54,LP001186,11500,0.0,286000.0,360.0,0.0,0,1,0,0,1,0,1,0,1,0
55,LP001194,2708,1167.0,97000.0,360.0,1.0,1,0,1,0,1,0,0,1,0,1
56,LP001195,2132,1591.0,96000.0,360.0,1.0,1,0,0,0,1,0,0,1,0,1
